Gene_symbol,Entry,ID
Q0045,P00401,0
Q0050,P03875,1
Q0075,Q9ZZX0,2
Q0080,P00856,3
Q0085,P00854,4
Q0105,P00163,5
Q0110,P03873,6
Q0115,Q9ZZW7,7
Q0120,P03879,8
Q0130,P61829,9
Q0140,P02381,10
Q0160,P03882,11
Q0250,P00410,12
Q0255,P03881,13
Q0275,P00420,14
YAL001C,P34111,15
YAL002W,P39702,16
YAL003W,P32471,17
YAL005C,P10591,18
YAL007C,P39704,19
YAL008W,P18411,20
YAL009W,P18410,21
YAL010C,P18409,22
YAL011W,P31376,23
YAL012W,P31373,24
YAL013W,P31385,25
YAL014C,P31377,26
YAL015C,P31378,27
YAL016W,P31383,28
YAL017W,P31374,29
YAL018C,P31379,30
YAL019W,P31380,31
YAL020C,P31386,32
YAL021C,P31384,33
YAL022C,P31381,34
YAL023C,P31382,35
YAL024C,P07866,36
YAL025C,P10962,37
YAL026C,P39524,38
YAL027W,P39735,39
YAL028W,P39734,40
YAL029C,P32492,41
YAL030W,P31109,42
YAL031C,P39732,43
YAL032C,P28004,44
YAL033W,P28005,45
YAL034C,P28003,46
YAL034W-A,P39731,47
YAL035W,P39730,48
YAL036C,P39729,49
YAL037W,P39728,50
YAL038W,P00549,51
YAL039C,P06182,52
YAL040C,P13365,53
YAL041W,P11433,54
YAL042W,P39727,55
YAL043C,Q01329,56
YAL044C,P39726,57
YAL044W-A,Q3E793,58
YAL046C,P39724,59
YAL047C,P39723,60
YAL048C,P39722,61
YAL049C,P39721,62
YAL051W,P39720,63
YAL053W,P39719,64
YAL054C,Q01574,65
YAL055W,P39718,66
YAL056W,P39717,67
YAL058W,P27825,68
YAL059W,P39715,69
YAL060W,P39714,70
YAL061W,P39713,71
YAL062W,P39708,72
YAL063C,P39712,73
YAL063C-A,Q3E791,74
YAL064C-A,Q6B2U8,75
YAL064W-B,O13512,76
YAL065C,O13511,77
YAL067C,P39709,78
YAL068C,P0CE92,79
YAR002C-A,Q05359,80
YAR002W,P39705,81
YAR003W,P39706,82
YAR007C,P22336,83
YAR008W,P39707,84
YAR009C,O13527,85
YAR010C,P0CX57,86
YAR014C,P27637,87
YAR015W,P27616,88
YAR018C,P22209,89
YAR019C,P27636,90
YAR023C,D6VPM8,91
YAR027W,P39547,92
YAR028W,P39548,93
YAR031W,P39551,94
YAR033W,P39552,95
YAR035W,P80235,96
YAR042W,P35845,97
YAR050W,P32768,98
YAR061W,P0CX90,99
YAR062W,P0CI66,100
YAR064W,P39563,101
YAR066W,P0CX18,102
YAR068W,P39564,103
YAR071W,P35842,104
YBL001C,P35195,105
YBL002W,P02294,106
YBL003C,P04912,107
YBL004W,P35194,108
YBL005W,Q12490,109
YBL005W-A,Q12266,110
YBL006C,P38210,111
YBL007C,P32790,112
YBL008W,P32479,113
YBL009W,P32789,114
YBL010C,P32788,115
YBL011W,P32784,116
YBL013W,P32785,117
YBL014C,P32786,118
YBL015W,P32316,119
YBL016W,P16892,120
YBL017C,P32319,121
YBL018C,P38208,122
YBL019W,P38207,123
YBL020W,P38206,124
YBL021C,P13434,125
YBL022C,P36775,126
YBL023C,P29469,127
YBL024W,P38205,128
YBL025W,P38204,129
YBL026W,P38203,130
YBL027W,P0CX83,131
YBL028C,P38202,132
YBL029C-A,Q3E756,133
YBL029W,P38201,134
YBL030C,P18239,135
YBL031W,P38200,136
YBL032W,P38199,137
YBL033C,P38066,138
YBL034C,P38198,139
YBL035C,P38121,140
YBL036C,P38197,141
YBL037W,P38065,142
YBL038W,P38064,143
YBL039C,P28274,144
YBL039W-B,P0C268,145
YBL040C,P18414,146
YBL041W,P23724,147
YBL042C,P38196,148
YBL043W,P38195,149
YBL044W,P38194,150
YBL045C,P07256,151
YBL046W,P38193,152
YBL047C,P34216,153
YBL049W,P38191,154
YBL050W,P32602,155
YBL051C,P34217,156
YBL052C,P34218,157
YBL054W,P34219,158
YBL055C,P34220,159
YBL056W,P34221,160
YBL057C,P34222,161
YBL058W,P34223,162
YBL059C-A,Q3E7A4,163
YBL059W,P34224,164
YBL060W,P34225,165
YBL061C,P34226,166
YBL063W,P28742,167
YBL064C,P34227,168
YBL066C,P34228,169
YBL067C,P38187,170
YBL068W,P38063,171
YBL069W,P35183,172
YBL071W-A,Q3E840,173
YBL072C,P0CX39,174
YBL074C,P32357,175
YBL075C,P09435,176
YBL076C,P09436,177
YBL078C,P38182,178
YBL079W,P38181,179
YBL080C,P33893,180
YBL081W,P38180,181
YBL082C,P38179,182
YBL084C,P38042,183
YBL085W,P38041,184
YBL086C,P38177,185
YBL087C,P0CX41,186
YBL088C,P38110,187
YBL089W,P38176,188
YBL090W,P38175,189
YBL091C,P38174,190
YBL091C-A,Q6Q595,191
YBL092W,P38061,192
YBL093C,P25046,193
YBL095W,P38172,194
YBL097W,P38170,195
YBL099W,P07251,196
YBL100W-A,Q12260,197
YBL101C,P38167,198
YBL102W,P38166,199
YBL103C,P38165,200
YBL104C,P38164,201
YBL105C,P24583,202
YBL106C,P38163,203
YBL107C,P38162,204
YBL111C,Q3E7Y5,205
YBL112C,Q3E7Y4,206
YBL113C,Q7M4S9,207
YBR001C,P35172,208
YBR002C,P35196,209
YBR003W,P18900,210
YBR004C,P38211,211
YBR005W,P38212,212
YBR006W,P38067,213
YBR007C,P38213,214
YBR010W,P61830,215
YBR011C,P00817,216
YBR012W-A,Q12217,217
YBR012W-B,Q12193,218
YBR014C,P38068,219
YBR015C,P38069,220
YBR016W,P38216,221
YBR017C,P38217,222
YBR018C,P08431,223
YBR019C,P04397,224
YBR020W,P04385,225
YBR021W,P05316,226
YBR022W,P38218,227
YBR023C,P29465,228
YBR024W,P38072,229
YBR025C,P38219,230
YBR026C,P38071,231
YBR028C,P38070,232
YBR029C,P38221,233
YBR030W,P38222,234
YBR031W,P10664,235
YBR033W,P38073,236
YBR034C,P38074,237
YBR035C,P38075,238
YBR036C,P35206,239
YBR037C,P23833,240
YBR038W,P14180,241
YBR039W,P38077,242
YBR040W,P38224,243
YBR041W,P38225,244
YBR042C,P38226,245
YBR043C,P38227,246
YBR044C,P38228,247
YBR045C,P38229,248
YBR046C,P38230,249
YBR047W,P38231,250
YBR048W,P0CX48,251
YBR049C,P21538,252
YBR050C,P38232,253
YBR052C,P38234,254
YBR053C,P38235,255
YBR054W,P38079,256
YBR055C,P19735,257
YBR056W,P38081,258
YBR057C,P38236,259
YBR058C,P38237,260
YBR058C-A,Q3E790,261
YBR059C,P38080,262
YBR060C,P32833,263
YBR061C,P38238,264
YBR062C,P38239,265
YBR063C,P38083,266
YBR065C,P38241,267
YBR066C,P38082,268
YBR067C,P27654,269
YBR068C,P38084,270
YBR069C,P38085,271
YBR070C,P38242,272
YBR071W,P38243,273
YBR072W,P15992,274
YBR073W,P38086,275
YBR074W,P38244,276
YBR077C,P38247,277
YBR078W,P38248,278
YBR079C,P38249,279
YBR080C,P18759,280
YBR081C,P35177,281
YBR082C,P15731,282
YBR083W,P18412,283
YBR084C-A,P0CX82,284
YBR084W,P09440,285
YBR085C-A,O43137,286
YBR085W,P18238,287
YBR086C,P38250,288
YBR087W,P38251,289
YBR088C,P15873,290
YBR089C-A,P11633,291
YBR090C,P38253,292
YBR091C,P32830,293
YBR093C,P00635,294
YBR094W,P38254,295
YBR095C,P38255,296
YBR096W,P38256,297
YBR097W,P22219,298
YBR098W,P38257,299
YBR101C,P38260,300
YBR102C,P38261,301
YBR103W,P38262,302
YBR104W,P38087,303
YBR105C,P38263,304
YBR106W,P38264,305
YBR107C,P38265,306
YBR108W,P38266,307
YBR109C,P06787,308
YBR110W,P16661,309
YBR111C,Q01976,310
YBR111W-A,Q6WNK7,311
YBR112C,P14922,312
YBR114W,P31244,313
YBR115C,P07702,314
YBR117C,P33315,315
YBR118W,P02994,316
YBR119W,P32605,317
YBR120C,P07253,318
YBR121C,P38088,319
YBR122C,P36531,320
YBR123C,P32367,321
YBR125C,P38089,322
YBR126C,Q00764,323
YBR127C,P16140,324
YBR128C,P38270,325
YBR129C,P38271,326
YBR130C,P38272,327
YBR131W,P38273,328
YBR132C,P38090,329
YBR133C,P38274,330
YBR135W,P20486,331
YBR136W,P38111,332
YBR137W,P38276,333
YBR138C,P38277,334
YBR139W,P38109,335
YBR140C,P18963,336
YBR141C,P38278,337
YBR142W,P38112,338
YBR143C,P12385,339
YBR145W,P38113,340
YBR146W,P38120,341
YBR148W,P38280,342
YBR149W,P38115,343
YBR150C,P38114,344
YBR151W,P38281,345
YBR152W,P38282,346
YBR153W,P33312,347
YBR154C,P20434,348
YBR155W,P33313,349
YBR156C,P38283,350
YBR157C,P38284,351
YBR158W,P38285,352
YBR159W,P38286,353
YBR160W,P00546,354
YBR161W,P38287,355
YBR162C,P38288,356
YBR162W-A,P38374,357
YBR164C,P38116,358
YBR166C,P20049,359
YBR167C,P38291,360
YBR168W,P38292,361
YBR169C,P32590,362
YBR170C,P33755,363
YBR171W,P33754,364
YBR172C,P32909,365
YBR173C,P38293,366
YBR175W,P38123,367
YBR176W,P38122,368
YBR177C,P38295,369
YBR179C,P38297,370
YBR180W,P38125,371
YBR181C,P0CX38,372
YBR182C,P38128,373
YBR183W,P38298,374
YBR184W,P38299,375
YBR185C,P38300,376
YBR186W,P38126,377
YBR187W,P38301,378
YBR188C,P38302,379
YBR189W,P05755,380
YBR191W,Q02753,381
YBR192W,P38127,382
YBR193C,P38304,383
YBR194W,P38305,384
YBR195C,P13712,385
YBR196C,P12709,386
YBR197C,P38306,387
YBR198C,P38129,388
YBR199W,P38131,389
YBR200W,P29366,390
YBR201C-A,Q2V2Q3,391
YBR201W,P38307,392
YBR202W,P38132,393
YBR203W,P38308,394
YBR205W,P38130,395
YBR207W,P38310,396
YBR208C,P32528,397
YBR210W,P38312,398
YBR211C,P38313,399
YBR212W,P32831,400
YBR213W,P15807,401
YBR214W,P38314,402
YBR215W,Q01448,403
YBR216C,P38315,404
YBR217W,P38316,405
YBR218C,P32327,406
YBR220C,P38318,407
YBR221C,P32473,408
YBR222C,P38137,409
YBR223C,P38319,410
YBR225W,P38321,411
YBR227C,P38323,412
YBR228W,P38324,413
YBR229C,P38138,414
YBR230C,P38325,415
YBR230W-A,Q3E762,416
YBR231C,P38326,417
YBR233W-A,P69850,418
YBR234C,P38328,419
YBR235W,P38329,420
YBR236C,P32783,421
YBR237W,P21372,422
YBR238C,P38330,423
YBR239C,P38140,424
YBR240C,P38141,425
YBR241C,P38142,426
YBR242W,P38331,427
YBR243C,P07286,428
YBR244W,P38143,429
YBR245C,P38144,430
YBR246W,P38332,431
YBR247C,P38333,432
YBR248C,P33734,433
YBR249C,P32449,434
YBR250W,P33757,435
YBR251W,P33759,436
YBR252W,P33317,437
YBR253W,P32570,438
YBR254C,P38334,439
YBR255C-A,Q3E776,440
YBR255W,P38335,441
YBR256C,P38145,442
YBR257W,P38336,443
YBR258C,P38337,444
YBR259W,P38338,445
YBR260C,P38339,446
YBR261C,P38340,447
YBR262C,P38341,448
YBR263W,P37292,449
YBR264C,P38146,450
YBR265W,P38342,451
YBR267W,P38344,452
YBR268W,P36532,453
YBR269C,P38345,454
YBR270C,P38346,455
YBR271W,P38347,456
YBR272C,P38348,457
YBR273C,P38349,458
YBR274W,P38147,459
YBR275C,P29539,460
YBR276C,P38148,461
YBR278W,P27344,462
YBR279W,P38351,463
YBR280C,P38352,464
YBR281C,P38149,465
YBR282W,P36526,466
YBR283C,P38353,467
YBR284W,P38150,468
YBR285W,P38354,469
YBR286W,P37302,470
YBR287W,P38355,471
YBR288C,P38153,472
YBR289W,P18480,473
YBR290W,P38356,474
YBR291C,P38152,475
YBR293W,P38358,476
YBR295W,P38360,477
YBR296C,P38361,478
YBR296C-A,Q8TGU5,479
YBR297W,P38157,480
YBR298C,P38156,481
YBR298C-A,Q8TGK4,482
YBR299W,P38158,483
YCL001W,P25560,484
YCL001W-B,Q96VH2,485
YCL002C,P25565,486
YCL004W,P25578,487
YCL005W-A,Q3E7B6,488
YCL008C,P25604,489
YCL009C,P25605,490
YCL010C,P25554,491
YCL011C,P25555,492
YCL012C,Q8J0M4,493
YCL014W,P25558,494
YCL016C,P25559,495
YCL017C,P25374,496
YCL018W,P04173,497
YCL019W,P25384,498
YCL020W,P25383,499
YCL021W-A,Q96VH3,500
YCL024W,P25389,501
YCL025C,P25376,502
YCL026C-A,P37261,503
YCL026C-B,Q96VH4,504
YCL027W,P11710,505
YCL028W,P25367,506
YCL029C,P11709,507
YCL030C,P00815,508
YCL031C,P25368,509
YCL032W,P25344,510
YCL033C,P25566,511
YCL034W,P25369,512
YCL035C,P25373,513
YCL036W,P25370,514
YCL037C,P25567,515
YCL038C,P25568,516
YCL039W,P25569,517
YCL040W,P17709,518
YCL042W,P25572,519
YCL043C,P17967,520
YCL044C,P25573,521
YCL045C,P25574,522
YCL047C,P25576,523
YCL048W,P25380,524
YCL048W-A,Q2V2Q2,525
YCL050C,P16550,526
YCL051W,P25579,527
YCL052C,P25580,528
YCL054W,P25582,529
YCL055W,P25583,530
YCL056C,P25584,531
YCL057C-A,Q96VH5,532
YCL057W,P25375,533
YCL059C,P25586,534
YCL061C,P25588,535
YCL063W,P25591,536
YCL064C,P25379,537
YCL066W,P0CY07,538
YCL067C,P0CY09,539
YCL068C,P25593,540
YCL069W,P25594,541
YCL073C,P25596,542
YCR002C,P25342,543
YCR003W,P25348,544
YCR004C,P25349,545
YCR005C,P08679,546
YCR007C,P25354,547
YCR008W,P25333,548
YCR009C,P25343,549
YCR010C,P25613,550
YCR011C,P25371,551
YCR012W,P00560,552
YCR014C,P25615,553
YCR015C,P25616,554
YCR016W,P25617,555
YCR017C,P25618,556
YCR018C,P09007,557
YCR019W,P23060,558
YCR020C-A,P23059,559
YCR020W-B,Q9URQ5,560
YCR021C,P25619,561
YCR023C,P25351,562
YCR024C,P25345,563
YCR024C-A,P32903,564
YCR024C-B,Q3E7Z8,565
YCR026C,P25353,566
YCR027C,P25378,567
YCR028C,P25621,568
YCR028C-A,P32445,569
YCR030C,P25623,570
YCR031C,P06367,571
YCR032W,P25356,572
YCR033W,P25357,573
YCR034W,P25358,574
YCR035C,P25359,575
YCR036W,P25332,576
YCR037C,P25360,577
YCR038C,P25300,578
YCR039C,P0CY08,579
YCR040W,P0CY06,580
YCR042C,P23255,581
YCR043C,P25361,582
YCR044C,P25625,583
YCR045C,P25381,584
YCR046C,P25626,585
YCR047C,P25627,586
YCR048W,P25628,587
YCR050C,P25630,588
YCR051W,P25631,589
YCR052W,P25632,590
YCR053W,P16120,591
YCR054C,P25355,592
YCR057C,P25635,593
YCR059C,P25637,594
YCR060W,P25638,595
YCR061W,P25639,596
YCR063W,P25337,597
YCR065W,P25364,598
YCR066W,P10862,599
YCR067C,P25365,600
YCR068W,P25641,601
YCR069W,P25334,602
YCR071C,P25642,603
YCR072C,P25382,604
YCR073C,P25390,605
YCR073W-A,P37262,606
YCR075C,P17261,607
YCR075W-A,Q3E830,608
YCR076C,P25659,609
YCR077C,P25644,610
YCR079W,P25646,611
YCR081W,P25648,612
YCR082W,P25649,613
YCR083W,P25372,614
YCR084C,P16649,615
YCR086W,P25651,616
YCR087C-A,P37263,617
YCR088W,P15891,618
YCR089W,P25653,619
YCR090C,P25654,620
YCR091W,P25341,621
YCR092C,P25336,622
YCR093W,P25655,623
YCR094W,P25656,624
YCR095C,P25366,625
YCR096C,P0CY13,626
YCR097W,P0CY11,627
YCR098C,P25346,628
YCR099C,P25657,629
YCR100C,P25606,630
YCR101C,P25607,631
YCR102C,P25608,632
YCR105W,P25377,633
YCR106W,P25611,634
YCR107W,P25612,635
YDL001W,Q03441,636
YDL002C,Q03435,637
YDL003W,Q12158,638
YDL004W,Q12165,639
YDL005C,Q12124,640
YDL006W,P35182,641
YDL007W,P40327,642
YDL008W,Q12157,643
YDL010W,Q12438,644
YDL012C,Q12489,645
YDL013W,P32828,646
YDL014W,P15646,647
YDL015C,Q99190,648
YDL017W,P06243,649
YDL018C,Q12403,650
YDL019C,Q12451,651
YDL020C,Q03465,652
YDL021W,Q12008,653
YDL022W,Q00055,654
YDL024C,P52290,655
YDL025C,Q12100,656
YDL027C,Q07349,657
YDL028C,P54199,658
YDL029W,P32381,659
YDL030W,P19736,660
YDL031W,Q12389,661
YDL033C,Q12093,662
YDL035C,Q12361,663
YDL036C,Q12069,664
YDL037C,Q12140,665
YDL039C,Q12459,666
YDL040C,P12945,667
YDL042C,P06700,668
YDL043C,Q07350,669
YDL044C,P10849,670
YDL045C,P38913,671
YDL045W-A,O75012,672
YDL046W,Q12408,673
YDL047W,P20604,674
YDL048C,Q07351,675
YDL049C,P50112,676
YDL051W,P33399,677
YDL052C,P33333,678
YDL053C,Q07362,679
YDL054C,Q07376,680
YDL055C,P41940,681
YDL056W,P39678,682
YDL057W,Q07379,683
YDL058W,P25386,684
YDL059C,Q12223,685
YDL060W,Q07381,686
YDL061C,P41058,687
YDL063C,Q07395,688
YDL064W,P50623,689
YDL065C,Q07418,690
YDL066W,P21954,691
YDL067C,P07255,692
YDL069C,P14066,693
YDL070W,Q07442,694
YDL072C,Q07451,695
YDL073W,Q07454,696
YDL074C,Q07457,697
YDL075W,P0C2H8,698
YDL076C,Q07458,699
YDL077C,Q07468,700
YDL078C,P32419,701
YDL079C,P50873,702
YDL080C,Q07471,703
YDL081C,P05318,704
YDL082W,Q12690,705
YDL083C,P0CX52,706
YDL084W,Q07478,707
YDL085C-A,Q3E7B7,708
YDL085W,Q07500,709
YDL086W,Q07505,710
YDL087C,Q07508,711
YDL088C,Q05166,712
