Gene_symbol,Entry,ID
Q0032,Q9ZZX7,0
Q0050,P03875,1
Q0080,P00856,2
Q0085,P00854,3
Q0092,Q35811,4
Q0130,P61829,5
Q0250,P00410,6
Q0275,P00420,7
YAL001C,P34111,8
YAL002W,P39702,9
YAL003W,P32471,10
YAL004W,P39703,11
YAL005C,P10591,12
YAL007C,P39704,13
YAL009W,P18410,14
YAL010C,P18409,15
YAL011W,P31376,16
YAL012W,P31373,17
YAL013W,P31385,18
YAL014C,P31377,19
YAL015C,P31378,20
YAL016W,P31383,21
YAL017W,P31374,22
YAL018C,P31379,23
YAL019W,P31380,24
YAL021C,P31384,25
YAL022C,P31381,26
YAL023C,P31382,27
YAL024C,P07866,28
YAL025C,P10962,29
YAL026C,P39524,30
YAL027W,P39735,31
YAL028W,P39734,32
YAL029C,P32492,33
YAL030W,P31109,34
YAL031C,P39732,35
YAL032C,P28004,36
YAL033W,P28005,37
YAL034C,P28003,38
YAL034W-A,P39731,39
YAL035W,P39730,40
YAL036C,P39729,41
YAL038W,P00549,42
YAL040C,P13365,43
YAL041W,P11433,44
YAL042W,P39727,45
YAL043C,Q01329,46
YAL045C,P39725,47
YAL047C,P39723,48
YAL049C,P39721,49
YAL051W,P39720,50
YAL053W,P39719,51
YAL054C,Q01574,52
YAL055W,P39718,53
YAL056W,P39717,54
YAL058W,P27825,55
YAL059W,P39715,56
YAL060W,P39714,57
YAL061W,P39713,58
YAL062W,P39708,59
YAL064W,O13512,60
YAL066W,P39710,61
YAL067C,P39709,62
YAR002C-A,Q05359,63
YAR002W,P39705,64
YAR003W,P39706,65
YAR007C,P22336,66
YAR008W,P39707,67
YAR009C,O13527,68
YAR014C,P27637,69
YAR018C,P22209,70
YAR019C,P27636,71
YAR020C,P39545,72
YAR023C,D6VPM8,73
YAR027W,P39547,74
YAR028W,P39548,75
YAR030C,P39550,76
YAR031W,P39551,77
YAR033W,P39552,78
YAR035W,P80235,79
YAR044W,P35845,80
YAR047C,P39557,81
YAR060C,P0CX88,82
YAR064W,P39563,83
YAR066W,P0CX18,84
YAR069C,P0CX92,85
YAR071W,P35842,86
YAR073W,P39567,87
YBL001C,P35195,88
YBL002W,P02294,89
YBL003C,P04912,90
YBL004W,P35194,91
YBL005W,Q12490,92
YBL006C,P38210,93
YBL007C,P32790,94
YBL008W,P32479,95
YBL009W,P32789,96
YBL010C,P32788,97
YBL013W,P32785,98
YBL014C,P32786,99
YBL015W,P32316,100
YBL016W,P16892,101
YBL017C,P32319,102
YBL018C,P38208,103
YBL019W,P38207,104
YBL020W,P38206,105
YBL021C,P13434,106
YBL022C,P36775,107
YBL023C,P29469,108
YBL024W,P38205,109
YBL025W,P38204,110
YBL026W,P38203,111
YBL029W,P38201,112
YBL030C,P18239,113
YBL031W,P38200,114
YBL032W,P38199,115
YBL033C,P38066,116
YBL034C,P38198,117
YBL035C,P38121,118
